word,weight
running,1
s,-1
sadness,0.625
said,1
same,0.25
sat,1
saw,0.25
say,-1
saying,-1
says,-0.25
scared,1
scene,1
school,1
second,1
see,1
seeing,-0.625
seem,-1
seemed,-0.25
seen,-0.625
sense,-0.75
set,1
seven,1
she,1
shock,0.25
should,-1
shouldn,0.25
show,1
sick,1
side,-0.25
simply,-0.25
since,0.25
sister,1
sisters,1
sit,1
sitting,1
situation,0.25
six,1
sleep,0.625
sleeping,-0.625
small,0.625
so,-0.25
some,-1
somebody,-1
somehow,-1
someone,0.25
something,-0.25
sometimes,-1
somewhat,-0.25
somewhere,0.625
sorry,1
sort,-0.25
specific,0.25
spend,-1
stand,-0.25
standing,1
start,-0.75
started,-0.25
stay,-0.625
staying,0.25
step,0.625
stick,1
still,-1
stop,0.625
store,0.625
story,0.25
strange,-0.625
street,0.625
strong,-0.25
stuff,-0.25
stupid,-0.625
such,1
suddenly,-0.25
support,-0.25
suppose,-1
supposed,0.25
t,-0.625
table,1
take,0.625
taken,0.625
taking,0.625
talk,-1
talked,-0.625
talking,-1
teacher,0.25
tell,0.625
telling,0.625
ten,1
terms,-0.25
terrible,0.25
than,-0.625
that,-0.875
the,1
their,-0.625
themselves,0.25
there,0.625
these,1
they,0.625
things,-0.625
think,-1
thinking,-0.5
thinks,1
those,-0.25
though,0.625
thought,0.25
thoughts,-1
three,1
through,-0.25
throw,0.25
throwing,1
time,0.625
times,-1
tired,0.625
to,0.25
today,-0.625
together,0.25
told,1
too,-1
took,1
top,1
toward,0.625
tree,1
tried,1
trouble,-1
truck,1
true,-0.625
try,0.25
trying,0.25
turn,-0.625
turned,-1
two,1
type,-0.625
uncomfortable,1
under,0.625
understand,-1
unless,-0.625
unpleasant,1
until,0.625
up,0.625
upset,0.25
upsetting,-0.25
us,1
use,1
used,0.625
usually,-0.25
ve,-1
very,0.625
wait,-0.625
waiting,-1
wake,-0.625
walk,1
walked,1
walking,0.625
want,-0.625
wanting,-0.625
wants,1
warm,1
was,1
wasn,0.25
watch,0.25
watching,0.625
water,0.625
way,-1
we,-0.25
wearing,1
wedding,1
week,-0.625
weekend,-1
weeks,1
weird,-0.25
well,-0.25
went,0.75
were,1
weren,-0.625
what,-1
whatever,-0.75
where,1
whether,-1
which,0.25
while,1
white,0.625
who,1
whole,-0.375
why,-0.625
wife,0.625
will,-0.625
window,0.625
with,-1
within,-1
without,-0.25
woman,0.625
women,1
won,-0.25
wonder,1
wonderful,0.625
wondering,-0.625
words,0.25
work,-0.25
worked,0.625
working,-0.25
world,1
worried,-1
would,0.25
wouldn,0.25
wrong,1
yeah,-0.625
year,-1
years,1
yes,0.625
yesterday,-1
yet,-0.625
you,-0.625
young,0.625
younger,1
your,-0.25
